# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
hao de ba 	好的吧	c=3 d=2.46078e-35 t=116978
hao di 	好滴	c=106 d=1.1003 t=116978
hao di ba 	好滴吧	c=6 d=0.00323088 t=116978
hao di fang 	好地方	c=1 d=0.000320701 t=116978
hao di hao di 	好滴好滴	c=2 d=2.78463e-19 t=116978
hao di ya 	好滴呀	c=3 d=8.44958e-19 t=116978
hao dian 	好點	c=4 d=7.98044e-14 t=116978
hao dong xi 	好東西	c=2 d=1.43969e-52 t=116978
hao duo 	好多	c=29 d=3.69334e-18 t=116978
hao duo ci 	好多次	c=2 d=1.95777e-80 t=116978
hao duo gong shi 	好多公式	c=1 d=3.81453e-133 t=116978
hao duo ren 	好多人	c=1 d=1.81106e-46 t=116978
hao duo shi er 	好多事兒	c=3 d=5.66383e-47 t=116978
hao fang fa 	好方法	c=1 d=5.11348e-169 t=116978
hao fei 	耗費	c=2 d=1.10153e-20 t=116978
hao gao 	好高	c=1 d=2.64505e-61 t=116978
hao gui 	好貴	c=4 d=3.96666e-05 t=116978
hao han 	好漢	c=1 d=2.05837e-140 t=116978
hao hao 	好好	c=49 d=0.633093 t=116978
hao hao kan 	好好看	c=1 d=7.27757e-27 t=116978
hao hao xiao 	好好笑	c=1 d=4.60144e-163 t=116978
hao he 	好喝	c=1 d=3.40232e-23 t=116978
hao hou 	好後	c=0 d=5.91536e-31 t=116978
hao huai 	好壞	c=1 d=1.34148e-15 t=116978
hao ji 	好幾	c=1 d=6.39496e-06 t=116978
hao ji ci 	好幾次	c=2 d=0.000409735 t=116978
hao ji ge 	好幾個	c=1 d=2.01823e-173 t=116978
hao ji ge yue 	好幾個月	c=3 d=0.0198411 t=116978
hao ji pian 	好幾篇	c=1 d=2.82952e-60 t=116978
hao ji tian 	好幾天	c=4 d=3.99606e-33 t=116978
hao jia huo 	好傢伙	c=2 d=0.0593087 t=116978
hao jian dan 	好簡單	c=1 d=1.82293e-64 t=116978
hao jie guo 	好結果	c=2 d=1.23066e-30 t=116978
hao jin 	好近	c=1 d=5.21146e-157 t=116978
hao jin zhang 	好緊張	c=2 d=1.04672e-58 t=116978
hao jiu 	好久	c=19 d=0.000337148 t=116978
hao jiu jie 	好糾結	c=1 d=1.88497e-46 t=116978
hao kai xin 	好開心	c=2 d=3.61578e-33 t=116978
hao kan 	好看	c=18 d=0.00124265 t=116978
hao ke ai 	好可愛	c=4 d=0.0235177 t=116978
hao ke lian 	好可憐	c=1 d=4.12086e-130 t=116978
hao ke pa 	好可怕	c=1 d=2.40828e-46 t=116978
hao ke wu 	好可惡	c=1 d=6.24663e-24 t=116978
hao ku 	好苦	c=1 d=2.00789e-142 t=116978
hao kuai 	好快	c=3 d=2.98696e-50 t=116978
hao kun 	好睏	c=1 d=1.18185e-142 t=116978
hao la 	好啦	c=3 d=0.000114493 t=116978
hao le 	好了	c=37 d=0.0168231 t=116978
hao le 	好嘞	c=2 d=2.7283e-102 t=116978
hao le ma 	好了嗎	c=2 d=3.53131e-49 t=116978
hao lei 	好累	c=6 d=2.39049e-47 t=116978
hao leng 	好冷	c=1 d=6.87735e-38 t=116978
hao li hai 	好厲害	c=2 d=8.41316e-27 t=116978
hao lou 	號樓	c=1 d=6.31714e-09 t=116978
hao luan 	豪亂	c=1 d=2.08761e-12 t=116978
hao ma 	好嘛	c=2 d=6.20259e-29 t=116978
hao ma 	號碼	c=8 d=2.83615e-21 t=116978
hao ma fan 	好麻煩	c=1 d=6.11942e-76 t=116978
hao mang 	好忙	c=2 d=8.7384e-151 t=116978
hao meng 	好猛	c=1 d=0.256661 t=116978
hao nan 	好難	c=5 d=0.518197 t=116978
hao nan guo 	好難過	c=1 d=7.33524e-61 t=116978
hao nan xie 	好難寫	c=1 d=3.55653e-162 t=116978
hao piao liang 	好漂亮	c=1 d=2.62383e-172 t=116978
hao pin 	好拼	c=2 d=7.63399e-176 t=116978
hao ping 	好評	c=2 d=1.00212e-113 t=116978
hao qi 	好奇	c=3 d=1.55181e-52 t=116978
hao qi 	好氣	c=1 d=4.43304e-48 t=116978
hao qi guai 	好奇怪	c=4 d=0.0682212 t=116978
hao qi lai 	好起來	c=1 d=6.49361e-39 t=116978
hao qiang 	好強	c=1 d=5.82258e-138 t=116978
hao re 	好熱	c=4 d=1.86819e-29 t=116978
hao ren 	好人	c=2 d=9.45136e-43 t=116978
hao ri zi 	好日子	c=1 d=6.65934e-12 t=116978
hao shang 	好上	c=1 d=5.55177e-19 t=116978
hao sheng 	好勝	c=1 d=5.54952e-73 t=116978
hao shi 	好事	c=1 d=1.21115e-136 t=116978
hao shou 	好受	c=1 d=7.89553e-74 t=116978
hao shuo 	好說	c=3 d=2.2438e-59 t=116978
hao ting 	好聽	c=1 d=2.33385e-59 t=116978
hao tong ku 	好痛苦	c=1 d=7.18907e-177 t=116978
hao wa 	好哇	c=1 d=5.4079e-63 t=116978
hao wai 	號外	c=1 d=2.89917e-52 t=116978
hao wan 	好晚	c=3 d=1.11987e-61 t=116978
hao wang jiao 	好望角	c=1 d=4.62451e-163 t=116978
hao wei lai 	好未來	c=9 d=5.36447e-27 t=116978
hao wu 	毫無	c=2 d=1.87372e-05 t=116978
hao wu liao 	好無聊	c=2 d=3.90815e-36 t=116978
hao wu yi yi 	毫無意義	c=1 d=5.34226e-37 t=116978
hao xi 	昊璽	c=4 d=1.12447e-46 t=116978
hao xi huan 	好喜歡	c=1 d=5.41654e-23 t=116978
hao xi wang 	好希望	c=1 d=5.316e-126 t=116978
hao xian 	號線	c=6 d=1.17611e-26 t=116978
hao xiang 	好像	c=170 d=1.65225 t=116978
hao xiang 	好香	c=1 d=6.79944e-51 t=116978
hao xiang fa 	好想法	c=1 d=2.63743e-174 t=116978
hao xiang shi 	好像是	c=10 d=0.0424257 t=116978
hao xiang shi 	好象是	c=1 d=3.38017e-05 t=116978
hao xiang shuo 	好想說	c=1 d=2.69711e-55 t=116978
hao xiao 	好笑	c=9 d=0.000347059 t=116978
hao xiao ma 	好笑嗎	c=1 d=1.04614e-60 t=116978
hao xiao xi 	好消息	c=2 d=2.63831e-31 t=116978
hao xie 	好寫	c=1 d=7.32776e-49 t=116978
hao ya 	好呀	c=2 d=0.000343955 t=116978
hao ya hao ya 	好呀好呀	c=1 d=1.46284e-122 t=116978
hao yang mao 	薅羊毛	c=2 d=2.70834e-110 t=116978
hao ye 	好耶	c=2 d=4.4015e-111 t=116978
hao yi dian 	好一點	c=5 d=6.22309e-09 t=116978
hao yong 	好用	c=5 d=0.186374 t=116978
hao yu 	好於	c=3 d=2.82864e-27 t=116978
hao yuan 	好遠	c=3 d=4.09639e-60 t=116978
hao yun qi 	好運氣	c=1 d=1.70472e-40 t=116978
hao zhao 	好找	c=1 d=9.70579e-32 t=116978
hao zhao 	號召	c=0 d=3.65301e-125 t=116978
hao zhi dao 	好知道	c=1 d=8.52731e-156 t=116978
hao zhuang guan 	好壯觀	c=1 d=9.73691e-99 t=116978
hao zuo 	好做	c=1 d=0.494109 t=116978
he 	何	c=1 d=4.91147e-136 t=116978
he 	合	c=8 d=8.35178e-06 t=116978
he 	和	c=588 d=0.909354 t=116978
he 	喝	c=15 d=3.33154e-11 t=116978
he 	河	c=1 d=1.41218e-31 t=116978
he 	盒	c=3 d=4.25994e-50 t=116978
he 	鶴	c=3 d=1.37187e-58 t=116978
he bei 	河北	c=2 d=2.15942e-51 t=116978
he bi 	何必	c=1 d=2.60576e-32 t=116978
he bing 	合併	c=12 d=3.13593e-05 t=116978
he bu he shi 	和不合適	c=2 d=3.54347e-27 t=116978
he bu shang 	合不上	c=1 d=1.31189e-76 t=116978
he cai liao 	和材料	c=1 d=3.53503e-32 t=116978
he dao 	喝道	c=1 d=7.5445e-39 t=116978
he dian 	核電	c=1 d=9.80207e-148 t=116978
he diao 	喝掉	c=1 d=1.03376e-67 t=116978
he dui 	覈對	c=3 d=2.30498e-89 t=116978
he fa 	合法	c=1 d=6.78007e-135 t=116978
he fei 	合肥	c=1 d=0.0106734 t=116978
he gai 	合蓋	c=2 d=0.644036 t=116978
he ge 	合格	c=1 d=1.52949e-58 t=116978
he ge 	和各	c=0 d=1.50672e-59 t=116978
he gui 	合規	c=2 d=8.96139e-05 t=116978
he he 	呵呵	c=0 d=3.0057e-07 t=116978
he he ha ha ha 	呵呵哈哈哈	c=3 d=0.018556 t=116978
he ji 	合計	c=4 d=8.46397e-39 t=116978
he ku 	何苦	c=2 d=6.57895e-67 t=116978
he kuang 	何況	c=1 d=1.02546e-31 t=116978
he li 	合理	c=8 d=4.05645e-33 t=116978
he li xing 	合理性	c=1 d=3.4608e-47 t=116978
he nan 	河南	c=1 d=4.5861e-65 t=116978
he niu 	和牛	c=1 d=4.33966e-121 t=116978
he qi 	何其	c=1 d=7.31435e-145 t=116978
he qing he li 	合情合理	c=1 d=4.9534e-89 t=116978
he qun 	合羣	c=1 d=9.3602e-76 t=116978
he shan 	和善	c=1 d=1.72556e-124 t=116978
he shi 	合適	c=19 d=0.0587185 t=116978
he shi 	覈實	c=6 d=7.05648e-17 t=116978
he suan 	核酸	c=22 d=3.66008e-08 t=116978
he suan jian ce 	核酸檢測	c=1 d=8.44239e-09 t=116978
he sui 	賀歲	c=0 d=2.45309e-58 t=116978
he sui jiao 	賀歲交	c=1 d=2.46539e-57 t=116978
he tong 	合同	c=43 d=0.000344012 t=116978
he wo 	和我	c=5 d=2.53642e-97 t=116978
he xin 	核心	c=4 d=1.43802e-09 t=116978
he yan 	閤眼	c=1 d=1.18773e-24 t=116978
he yi 	合一	c=0 d=6.19185e-39 t=116978
he yi xia 	合一下	c=1 d=6.22288e-38 t=116978
he yuan lai 	和原來	c=1 d=1.13311e-29 t=116978
he zi 	盒子	c=1 d=2.20475e-66 t=116978
he zu 	合租	c=4 d=3.60575e-69 t=116978
he zuo 	合作	c=6 d=0.767206 t=116978
he zuo dan wei 	合作單位	c=1 d=1.04202e-43 t=116978
he zuo qu 	合作去	c=1 d=5.58607e-62 t=116978
hei 	黑	c=6 d=2.66256e-21 t=116978
hei an 	黑暗	c=1 d=3.82738e-55 t=116978
hei bai 	黑白	c=7 d=1.94098e-85 t=116978
hei bian 	黑邊	c=3 d=9.25183e-31 t=116978
hei hei 	嘿嘿	c=2 d=5.75377e-59 t=116978
hei ke 	黑客	c=1 d=2.09444e-21 t=116978
hei long jiang 	黑龍江	c=1 d=5.01714e-63 t=116978
hei niu 	黑牛	c=1 d=3.66122e-121 t=116978
hei se 	黑色	c=10 d=5.46977e-35 t=116978
hei se de 	黑色的	c=1 d=6.48835e-147 t=116978
hei ti 	黑體	c=1 d=1.19207e-155 t=116978
hei xin 	黑心	c=0 d=4.99244e-06 t=116978
hei xin lao ban 	黑心老闆	c=1 d=5.01747e-05 t=116978
hei ze ming 	黑澤明	c=1 d=6.61331e-48 t=116978
hen 	很	c=75 d=0.0336267 t=116978
hen 	恨	c=1 d=7.41301e-12 t=116978
hen bang 	很棒	c=1 d=2.07481e-116 t=116978
hen bu cuo 	很不錯	c=1 d=1.15059e-62 t=116978
hen bu hua suan 	很不划算	c=1 d=5.48461e-111 t=116978
hen bu qing chu 	很不清楚	c=1 d=6.12403e-173 t=116978
hen cha 	很差	c=1 d=7.76897e-31 t=116978
hen chang 	很長	c=5 d=2.87981e-32 t=116978
hen chang shi jian 	很長時間	c=1 d=1.70114e-74 t=116978
hen cong ming 	很聰明	c=1 d=3.10525e-07 t=116978
hen da 	很大	c=14 d=3.6315e-11 t=116978
hen da cheng du 	很大程度	c=1 d=2.57985e-179 t=116978
hen da cheng du shang 	很大程度上	c=1 d=8.69802e-07 t=116978
hen di 	很低	c=4 d=1.14489e-33 t=116978
hen duo 	很多	c=39 d=0.41733 t=116978
hen duo ci 	很多次	c=2 d=2.91132e-13 t=116978
hen duo hua 	很多話	c=1 d=5.2249e-11 t=116978
hen duo qian 	很多錢	c=1 d=5.43316e-59 t=116978
hen duo ren 	很多人	c=1 d=1.49355e-43 t=116978
hen e xin 	很噁心	c=1 d=2.45369e-148 t=116978
hen fang bian 	很方便	c=1 d=1.18001e-153 t=116978
hen fu za 	很複雜	c=1 d=1.09329e-108 t=116978
hen gao 	很高	c=2 d=3.75351e-61 t=116978
hen gui 	很貴	c=2 d=3.22638e-16 t=116978
hen ha 	很哈	c=1 d=2.29832e-55 t=116978
hen hai pa 	很害怕	c=1 d=8.70811e-50 t=116978
hen hao 	很好	c=6 d=0.38868 t=116978
hen hao kan 	很好看	c=4 d=1.46341e-38 t=116978
hen hao xiao 	很好笑	c=1 d=5.25109e-11 t=116978
hen ji 	很急	c=1 d=9.42345e-67 t=116978
hen jian dan 	很簡單	c=1 d=5.76931e-30 t=116978
hen jian jue 	恨堅決	c=2 d=3.32129e-11 t=116978
hen jin 	很近	c=2 d=4.20537e-16 t=116978
hen jiu 	很久	c=3 d=1.01036e-33 t=116978
hen kai xin 	很開心	c=1 d=9.39752e-64 t=116978
hen ke ai 	很可愛	c=2 d=0.0237541 t=116978
hen ke neng 	很可能	c=2 d=3.52111e-15 t=116978
hen kua zhang 	很誇張	c=1 d=2.06622e-126 t=116978
hen kuai 	很快	c=19 d=0.0506923 t=116978
hen kuai le 	很快樂	c=1 d=3.29135e-74 t=116978
hen lao 	很老	c=1 d=6.62275e-06 t=116978
hen lei 	很累	c=1 d=1.74699e-34 t=116978
hen leng 	很冷	c=1 d=8.56971e-38 t=116978
hen li hai 	很厲害	c=1 d=2.60717e-09 t=116978
hen li xiang 	很理想	c=1 d=1.63532e-51 t=116978
hen luan 	很亂	c=1 d=1.6174e-39 t=116978
hen ma fan 	很麻煩	c=2 d=1.06253e-37 t=116978
hen man yi 	很滿意	c=1 d=5.79508e-53 t=116978
hen mang 	很忙	c=1 d=3.71754e-36 t=116978
hen mian qiang 	很勉強	c=1 d=8.98277e-33 t=116978
hen nan 	很難	c=12 d=0.000209665 t=116978
hen nan cai 	很難猜	c=1 d=8.31051e-59 t=116978
hen nan shou 	很難受	c=3 d=1.9344e-27 t=116978
hen neng chi 	很能吃	c=1 d=1.40984e-129 t=116978
hen qi guai 	很奇怪	c=4 d=6.06614e-32 t=116978
hen qin lve xing 	很侵略性	c=1 d=8.71284e-27 t=116978
hen qing chu 	很清楚	c=1 d=1.08924e-35 t=116978
hen qing song 	很輕鬆	c=1 d=1.80142e-42 t=116978
hen qing xi 	很清晰	c=1 d=9.10767e-19 t=116978
hen rong yi 	很容易	c=4 d=0.000137073 t=116978
hen rong yi yu ce 	很容易預測	c=1 d=3.46316e-55 t=116978
hen shao 	很少	c=2 d=8.42463e-43 t=116978
hen sheng qi 	很生氣	c=2 d=1.16702e-23 t=116978
hen shi luo 	很失落	c=1 d=7.54939e-76 t=116978
hen shu xi 	很熟悉	c=1 d=9.33037e-156 t=116978
hen sui bian 	很隨便	c=1 d=1.27217e-126 t=116978
hen wan 	很晚	c=3 d=0.0205478 t=116978
hen xiao 	很小	c=2 d=2.08948e-140 t=116978
hen yan 	很嚴	c=1 d=0.04573 t=116978
hen yan ge 	很嚴格	c=1 d=1.28202e-11 t=116978
hen you 	很有	c=7 d=0.062662 t=116978
hen you jing yan 	很有經驗	c=1 d=1.11412e-36 t=116978
hen you ke neng 	很有可能	c=1 d=3.12221e-71 t=116978
hen you xian 	很有限	c=3 d=1.4212e-47 t=116978
hen you xiao 	很有效	c=1 d=6.32103e-75 t=116978
hen zao 	很早	c=2 d=0.00530026 t=116978
hen zhe teng 	很折騰	c=1 d=9.75018e-115 t=116978
hen zheng chang 	很正常	c=3 d=3.75107e-24 t=116978
hen zhong 	很重	c=1 d=1.20167e-73 t=116978
hen zhong yao 	很重要	c=1 d=1.65885e-72 t=116978
hen zi ran 	很自然	c=1 d=1.41402e-105 t=116978
heng 	哼	c=25 d=0.0077563 t=116978
heng 	橫	c=1 d=4.12674e-88 t=116978
heng 	衡	c=1 d=3.27639e-138 t=116978
heng deng 	恆等	c=1 d=1.40114e-115 t=116978
heng gang 	橫槓	c=1 d=3.99988e-103 t=116978
heng heng 	哼哼	c=3 d=0.00577048 t=116978
heng li 	亨利	c=2 d=9.19917e-10 t=116978
heng liang 	衡量	c=7 d=1.01703e-19 t=116978
heng zhou 	橫軸	c=1 d=8.31819e-158 t=116978
hong 	洪	c=1 d=2.3082e-76 t=116978
hong 	紅	c=13 d=0.0187793 t=116978
hong 	轟	c=2 d=2.07025e-05 t=116978
hong bao 	紅包	c=11 d=1.03888e-15 t=116978
hong cheng 	紅橙	c=0 d=6.3432e-29 t=116978
hong cheng lan lv 	紅橙藍綠	c=1 d=6.37499e-28 t=116978
hong dian 	紅點	c=1 d=1.13062e-150 t=116978
hong gou 	鴻溝	c=21 d=3.014e-06 t=116978
hong guan 	宏觀	c=2 d=1.04674e-08 t=116978
hong hai 	紅海	c=1 d=6.0922e-53 t=116978
hong hong huo huo huang huang hu hu 	红红火火恍恍惚惚	c=2 d=3.36752e-156 t=116978
hong hua 	紅花	c=0 d=2.50742e-51 t=116978
hong li 	紅利	c=1 d=1.83382e-134 t=116978
hong lv deng 	紅綠燈	c=1 d=2.80977e-154 t=116978
hong ma 	紅碼	c=1 d=1.35262e-24 t=116978
hong meng 	澒濛	c=1 d=0.860708 t=116978
hong mi 	紅迷	c=1 d=1.33285e-86 t=116978
hong qiu 	宏业	c=1 d=2.27577e-86 t=116978
hong qiu 	红球	c=1 d=2.28718e-86 t=116978
hong se 	紅色	c=6 d=9.87106e-18 t=116978
hong shu 	紅樹	c=1 d=1.48889e-65 t=116978
hong shu lin 	紅樹林	c=2 d=0.00108878 t=116978
hong zhou 	红岫	c=1 d=0.180866 t=116978
hou 	侯	c=3 d=1.18884e-47 t=116978
hou 	吼	c=56 d=0.00913229 t=116978
hou 	後	c=106 d=0.337902 t=116978
hou chu li 	後處理	c=1 d=4.15207e-13 t=116978
hou dao 	厚道	c=0 d=1.02476e-24 t=116978
hou duan 	後端	c=4 d=4.13094e-175 t=116978
hou gu zhi you 	後顧之憂	c=1 d=2.12178e-144 t=116978
hou hou 	吼吼	c=0 d=1.91016e-166 t=116978
hou hou hao 	吼吼好	c=1 d=9.57471e-166 t=116978
hou hou hou 	吼吼吼	c=13 d=2.94358e-25 t=116978
hou hui 	後悔	c=1 d=7.19e-61 t=116978
hou lai 	後來	c=23 d=0.264477 t=116978
hou mai 	候脈	c=1 d=3.74e-48 t=116978
hou mian 	後面	c=22 d=0.0154523 t=116978
hou mian jian 	後面間	c=1 d=1.49e-15 t=116978
hou mian mei le 	後面沒了	c=1 d=7.08703e-09 t=116978
hou qi 	後期	c=11 d=0.472367 t=116978
hou tai 	後臺	c=4 d=0.0862936 t=116978
hou tian 	後天	c=5 d=1.60979e-11 t=116978
hou tou 	後頭	c=0 d=7.50456e-07 t=116978
hou wen 	後文	c=2 d=6.08599e-41 t=116978
hou xiang 	後向	c=2 d=3.15524e-33 t=116978
hou xu 	後續	c=21 d=0.235438 t=116978
hou xu you 	後續有	c=1 d=5.75955e-157 t=116978
hou xuan 	候選	c=14 d=1.58612e-70 t=116978
hou xuan kuang 	候選框	c=2 d=4.32372e-19 t=116978
hou xuan qu yu 	候選區域	c=11 d=3.98913e-42 t=116978
hou yan gai lv 	后验概率	c=1 d=1.33857e-107 t=116978
hou zhe 	後者	c=2 d=1.05177e-35 t=116978
hou zi 	猴子	c=5 d=4.42131e-66 t=116978
hu 	互	c=2 d=4.08816e-07 t=116978
hu 	呼	c=1 d=1.96712e-136 t=116978
hu 	壺	c=0 d=1.44813e-63 t=116978
hu 	戶	c=7 d=1.09641e-25 t=116978
hu 	湖	c=1 d=3.42253e-122 t=116978
hu 	胡	c=4 d=1.2905e-22 t=116978
hu 	虎	c=1 d=1.17041e-57 t=116978
hu bang hu zhu 	互幫互助	c=1 d=8.40287e-42 t=116978
hu bin 	湖濱	c=2 d=2.83548e-27 t=116978
hu bin nan 	湖濱難	c=4 d=7.01532e-07 t=116978
hu bin ni 	湖濱你	c=1 d=5.35409e-63 t=116978
hu chuan 	互傳	c=1 d=7.52405e-154 t=116978
hu dang 	戶檔	c=4 d=6.99398e-81 t=116978
hu dang xin xi 	戶檔信息	c=3 d=1.77787e-80 t=116978
hu dong 	互動	c=3 d=0.148823 t=116978
hu dong 	虎東	c=1 d=3.7539e-121 t=116978
hu hao 	呼號	c=1 d=4.80062e-44 t=116978
hu hao 	戶號	c=2 d=1.08066e-43 t=116978
hu hu 	呼呼	c=2 d=6.15992e-36 t=116978
hu ji 	戶籍	c=6 d=6.60615e-77 t=116978
hu kou 	戶口	c=31 d=6.21019e-14 t=116978
hu kou ka 	戶口卡	c=1 d=4.94413e-67 t=116978
hu kou qian yi 	戶口遷移	c=1 d=3.82595e-80 t=116978
hu kou shou ye 	戶口首頁	c=1 d=5.92241e-44 t=116978
hu kou suo zai di 	戶口所在地	c=1 d=1.99977e-65 t=116978
hu lian 	互聯	c=2 d=6.91468e-131 t=116978
hu lian wang 	互聯網	c=8 d=0.863465 t=116978
hu lu 	葫蘆	c=0 d=6.87874e-12 t=116978
hu lu li 	葫蘆裏	c=1 d=6.91322e-11 t=116978
hu lve 	忽略	c=8 d=3.00621e-08 t=116978
hu mian 	弧麪	c=3 d=4.02132e-166 t=116978
hu ou 	互毆	c=1 d=4.52894e-182 t=116978
hu run 	胡潤	c=2 d=5.88729e-172 t=116978
hu shi 	忽視	c=1 d=1.34996e-89 t=116978
hu shi 	護士	c=1 d=0.00129402 t=116978
hu si 	胡思	c=1 d=2.25603e-13 t=116978
hu si luan xiang 	胡思亂想	c=2 d=1.32192e-12 t=116978
hu tu 	糊塗	c=2 d=1.16421e-24 t=116978
hu wei 	互爲	c=2 d=4.17075e-07 t=116978
hu xiang 	互相	c=9 d=4.12925e-07 t=116978
hu yan 	護眼	c=1 d=4.05011e-44 t=116978
hu zhao 	護照	c=3 d=4.42798e-24 t=116978
hu zheng 	戶政	c=2 d=3.24853e-67 t=116978
hua 	化	c=36 d=0.0884781 t=116978
hua 	畫	c=10 d=2.7051e-31 t=116978
hua 	花	c=27 d=0.0257209 t=116978
hua 	華	c=6 d=1.62214e-44 t=116978
hua 	話	c=300 d=0.701338 t=116978
hua an 	華安	c=1 d=2.92532e-40 t=116978
hua ban 	畫板	c=1 d=2.21401e-174 t=116978
hua ban 	花瓣	c=1 d=2.20297e-174 t=116978
hua bei 	花唄	c=6 d=7.20493e-56 t=116978
hua bing 	滑冰	c=1 d=1.7558e-05 t=116978
hua bu lai 	划不來	c=1 d=5.73254e-43 t=116978
hua cheng 	畫成	c=1 d=3.99622e-151 t=116978
hua de 	花的	c=0 d=6.50625e-151 t=116978
hua de wan 	花的完	c=1 d=6.53887e-150 t=116978
hua dian 	花店	c=1 d=1.26819e-148 t=116978
hua diao 	花掉	c=1 d=1.72867e-57 t=116978
hua dong 	滑動	c=1 d=2.88422e-50 t=116978
hua dong 	華東	c=1 d=2.86984e-50 t=116978
hua dong shi fan 	華東師範	c=1 d=5.17363e-42 t=116978
hua dong shi fan da xue 	華東師範大學	c=1 d=1.06307e-43 t=116978
hua er 	花兒	c=1 d=9.58278e-29 t=116978
hua fen 	劃分	c=3 d=4.24316e-33 t=116978
hua fen dao 	劃分到	c=1 d=1.10143e-107 t=116978
hua gong 	化工	c=1 d=0.0590129 t=116978
hua guang 	花光	c=1 d=1.52726e-129 t=116978
hua guang 	華光	c=1 d=1.51965e-129 t=116978
hua hua 	畫畫	c=2 d=4.31036e-12 t=116978
hua hua 	華華	c=1 d=2.72682e-125 t=116978
hua jie 	化解	c=1 d=0.12938 t=116978
hua le 	花了	c=5 d=9.59065e-51 t=116978
hua mian 	畫面	c=11 d=4.52904e-06 t=116978
hua qian 	花錢	c=3 d=8.44445e-100 t=116978
hua ru 	滑入	c=1 d=2.68934e-168 t=116978
hua shang 	畫上	c=1 d=2.84379e-31 t=116978
hua shu 	話術	c=1 d=1.50099e-72 t=116978
hua shui 	划水	c=7 d=2.30584e-64 t=116978
hua shuo 	話說	c=0 d=1.56102e-05 t=116978
hua suan 	划算	c=6 d=1.86173e-14 t=116978
hua ti 	花體	c=1 d=3.63417e-122 t=116978
hua ti 	話題	c=1 d=3.12009e-63 t=116978
hua tu 	畫圖	c=8 d=2.6e-06 t=116978
hua wei 	華爲	c=7 d=1.31152e-06 t=116978
hua wu 	話務	c=1 d=9.5496e-47 t=116978
hua xiang 	畫像	c=1 d=1.27429e-175 t=116978
hua xing 	滑行	c=2 d=1.61405e-44 t=116978
hua xue 	化學	c=2 d=3.59848e-06 t=116978
hua xue 	滑雪	c=2 d=2.12626e-05 t=116978
hua yuan 	花園	c=1 d=2.7544e-68 t=116978
hua zhuang tai 	化妝臺	c=1 d=6.15114e-78 t=116978
huai 	壞	c=3 d=1.75558e-24 t=116978
huai 	懷	c=2 d=6.09821e-27 t=116978
huai de 	壞得	c=1 d=6.33975e-51 t=116978
huai dian 	壞點	c=4 d=4.31374e-50 t=116978
huai le 	壞了	c=1 d=7.68096e-44 t=116978
huai yi 	懷疑	c=5 d=8.46459e-128 t=116978
huai yun 	懷孕	c=2 d=1.76633e-49 t=116978
huan 	換	c=32 d=0.0049667 t=116978
huan 	還	c=34 d=5.80909e-07 t=116978
huan bu liao 	還不了	c=1 d=1.18165e-140 t=116978
huan bu shang 	還不上	c=2 d=1.00878e-44 t=116978
huan cheng 	換乘	c=2 d=6.24557e-22 t=116978
huan chong 	緩衝	c=2 d=1.31555e-50 t=116978
huan chuang dan 	還牀單	c=1 d=1.94583e-155 t=116978
huan cun 	緩存	c=3 d=2.17695e-05 t=116978
huan dai 	還貸	c=1 d=5.04605e-13 t=116978
huan dao 	換到	c=2 d=0.161 t=116978
huan de 	換得	c=3 d=1.26963e-55 t=116978
huan diao 	換掉	c=1 d=1.95172e-73 t=116978
huan ge 	換個	c=4 d=6.36464e-48 t=116978
huan gong zuo 	換工作	c=1 d=1.65716e-60 t=116978
huan guo 	換過	c=1 d=7.91783e-19 t=116978
huan guo qu 	換過去	c=1 d=5.69236e-166 t=116978
huan hang 	換行	c=13 d=1.00293e-05 t=116978
huan hang fu 	換行負	c=1 d=2.63402e-100 t=116978
huan jia 	還價	c=1 d=1.45505e-118 t=116978
huan jie 	環節	c=3 d=1.89868e-43 t=116978
huan jie 	緩解	c=13 d=1.03627e-06 t=116978
huan jing 	環境	c=10 d=0.494109 t=116978
huan jing bian liang 	環境變量	c=1 d=2.63923e-182 t=116978
huan jing xia 	環境下	c=1 d=8.00285e-27 t=116978
huan ju hua 	換句話	c=1 d=3.1289e-08 t=116978
huan kuan 	還款	c=3 d=8.89075e-55 t=116978
huan lai 	換來	c=1 d=1.02385e-42 t=116978
huan le 	換了	c=1 d=0.0254765 t=116978
huan le 	歡樂	c=9 d=5.69171e-10 t=116978
huan le 	還了	c=1 d=1.0994e-56 t=116978
huan le ge 	換了個	c=3 d=2.91134e-160 t=116978
huan le gu 	歡樂谷	c=1 d=2.24906e-06 t=116978
huan le hai an 	歡樂海岸	c=1 d=9.70053e-55 t=116978
huan le xi ju ren 	換了喜劇人	c=1 d=2.3028e-166 t=116978
huan man 	緩慢	c=2 d=1.13705e-11 t=116978
huan qian 	還錢	c=3 d=4.84309e-30 t=116978
huan qing 	還清	c=4 d=1.65834e-39 t=116978
huan qiu 	環球	c=0 d=2.93958e-10 t=116978
huan qiu ying cheng 	環球影城	c=2 d=5.93832e-09 t=116978
huan shang 	還上	c=7 d=7.27412e-12 t=116978
huan suan 	換算	c=2 d=2.49584e-25 t=116978
huan wo 	還我	c=5 d=0.00124951 t=116978
huan yan zhi 	換言之	c=1 d=2.12451e-71 t=116978
